HP_Kangra,PB_Pathankot
OR_Kendujhar,OR_Sundargarh
KA_Belagavi,MH_Kolhapur
MH_Nagpur,MH_Wardha
MP_Shivpuri,UP_Jhansi
HR_Fatehabad,RJ_Hanumangarh
GJ_Ahmedabad,GJ_Mehsana
HR_Bhiwani,RJ_Churu
JH_Hazaribagh,JH_Ramgarh
HR_Kurukshetra,PB_Patiala
CT_Kondagaon,OR_Nabarangapur
PB_Hoshiarpur,PB_Rupnagar
UP_Jaunpur,UP_Pratapgarh
UP_Auraiya,UP_Etawah
UP_Barabanki,UP_Lucknow
HR_Faridabad,HR_Gurugram
MH_Dhule,MP_Barwani
JH_Giridih,JH_Koderma
GJ_Aravalli,RJ_Udaipur
MH_Amravati,MH_Wardha
HR_Kaithal,PB_Patiala
MP_Shahdol,MP_Umaria
HP_Una,PB_Hoshiarpur
HR_Jind,PB_Sangrur
KL_Alappuzha,KL_Kollam
MH_Akola,MH_Amravati
GJ_Valsad,MH_Palghar
TN_Kallakurichi,TN_Viluppuram
HR_Kurukshetra,HR_Yamunanagar
MP_Bhind,MP_Gwalior
PB_Fazilka,RJ_Ganganagar
RJ_Sirohi,RJ_Udaipur
OR_Gajapati,OR_Ganjam
OR_Balasore,WB_Jhargram
GJ_Banaskantha,GJ_Kutch
WB_Bankura,WB_Purulia
JH_Chatra,JH_Palamu
KA_Belagavi,MH_Sangli
RJ_Pratapgarh,RJ_Udaipur
JK_Jammu,JK_Rajouri
MP_Narsinghpur,MP_Raisen
JH_Pakur,JH_Sahibganj
MP_Hoshangabad,MP_Narsinghpur
MP_Alirajpur,MP_Barwani
TN_Coimbatore,TN_Tiruppur
BR_Gopalganj,BR_Muzaffarpur
TN_Kallakurichi,TN_Tiruvannamalai
OR_Ganjam,OR_Khordha
AP_Anantapur,KA_Chitradurga
GJ_Dang,GJ_Navsari
MH_Satara,MH_Solapur
UP_Bahraich,UP_Sitapur
BR_Gaya,JH_Koderma
GJ_Banaskantha,RJ_Jalore
RJ_Bikaner,RJ_Jaisalmer
GJ_Navsari,GJ_Tapi
MP_Sagar,MP_Vidisha
CT_Bilaspur,CT_Mungeli
HP_Sirmaur,HP_Solan
KA_Bagalkote,KA_Koppal
MP_Dindori,MP_Umaria
OR_Kandhamal,OR_Rayagada
MH_Aurangabad,MH_Nashik
KA_Gadag,KA_Koppal
RJ_Ajmer,RJ_Pali
AP_Anantapur,KA_Ballari
JH_Sahibganj,WB_Murshidabad
HR_Fatehabad,PB_Mansa
AP_Kurnool,KA_Raichur
BR_Banka,BR_Jamui
JK_Samba,JK_Udhampur
CT_Dhamtari,OR_Nabarangapur
CT_Bametara,CT_Kabeerdham
MH_Amravati,MP_Khandwa
DL_Delhi,HR_Sonipat
MP_Sheopur,RJ_Baran
UP_Bijnor,UT_Haridwar
UP_Banda,UP_Mahoba
JK_Jammu,JK_Udhampur
HP_Kinnaur,HP_Shimla
BR_Bhagalpur,BR_Khagaria
RJ_Bundi,RJ_Kota
JK_Pulwama,JK_Srinagar
UP_Ayodhya,UP_Basti
JH_Garhwa,JH_Latehar
JK_Ganderbal,JK_Srinagar
PB_Ludhiana,PB_Rupnagar
UP_Basti,UP_Gonda
RJ_Chittorgarh,RJ_Rajsamand
BR_Muzaffarpur,BR_Samastipur
OR_Deogarh,OR_Sambalpur
AR_Tirap,AS_Dibrugarh
JK_Budgam,JK_Srinagar
MH_Latur,MH_Nanded
PB_Bathinda,PB_Mansa
MH_Jalgaon,MP_Khargone
UP_Ghaziabad,UP_Hapur
GJ_Ahmedabad,GJ_Kheda
UP_Amroha,UP_Bijnor
JK_Kulgam,JK_Punch
RJ_Ajmer,RJ_Rajsamand
GJ_Narmada,MH_Nandurbar
RJ_Churu,RJ_Jhunjhunu
TN_Dindigul,TN_Tiruppur
PB_Barnala,PB_Mansa
MH_Wardha,MH_Yavatmal
PB_Faridkot,PB_Ferozepur
CT_Mahasamund,CT_Raigarh
OR_Deogarh,OR_Sundargarh
UP_Farrukhabad,UP_Kasganj
KA_Hassan,KA_Tumakuru
TN_Kallakurichi,TN_Salem
MP_Chhindwara,MP_Seoni
GJ_Dahod,RJ_Banswara
CT_Korba,CT_Koriya
MH_Ahmednagar,MH_Nashik
UP_Gorakhpur,UP_Kushinagar
KA_Chikkaballapura,KA_Kolar
AR_Longding,AR_Tirap
JK_Baramulla,JK_Punch
